date,baseline_reg,baseline_clf,xgboost_reg,xgboost_clf,lstm_reg,lstm_clf,buy_and_hold
2024-09-30,10000.0,8944.713490904132,9123.658112960644,9171.781789463497,10711.463518011924,10008.731328696631,8589.095521871253
2024-10-01,10000.0,8979.298089964832,9119.096283904164,9207.24434465695,10706.107786252918,10003.726963032284,8622.305129447843
2024-10-02,10000.0,9441.712815940446,9119.096283904164,9202.640722484623,10706.107786252918,10003.726963032284,9066.335478342005
2024-10-03,10000.0,9527.534690543076,9119.096283904164,9202.640722484623,10706.107786252918,10003.726963032284,9148.745303942082
2024-10-04,10000.0,9881.07081678568,9119.096283904164,9539.51975962436,10706.107786252918,10003.726963032284,9488.225776046405
2024-10-07,10000.0,9423.779916091231,9119.096283904164,9534.749999744548,10706.107786252918,10003.726963032284,9049.115542796204
2024-10-08,10000.0,9381.509090473908,9073.632583475473,9487.214037390913,10706.107786252918,9953.852893096158,9008.525292545623
2024-10-09,10000.0,9715.831116229567,9069.095767183737,9482.47043037222,10706.107786252918,10308.57111925796,9329.555565589126
2024-10-10,10000.0,9678.684115893411,9069.095767183737,9482.47043037222,10706.107786252918,10269.157867807686,9293.885430982502
2024-10-11,10000.0,9457.084291783949,8856.918320454048,9260.621812135503,10706.107786252918,10264.023288873783,9081.095825273884
2024-10-14,10000.0,9040.7830160691,8852.489861293821,8852.96882360773,10706.107786252918,10264.023288873783,8681.345578759248
2024-10-15,10000.0,9016.445090300987,8824.232578639541,8829.136496510244,10706.107786252918,10231.260369990143,8657.975264054468
2024-10-16,10000.0,9052.310889999417,8859.333791477657,8864.257216253167,10706.107786252918,10271.958486755393,8692.415135146077
2024-10-17,10000.0,8866.576865588382,8677.559243664715,8682.381650312529,10706.107786252918,10061.19990681799,8514.065400529065
2024-10-18,10000.0,9038.220614793643,8845.543892657497,8850.459653930186,10706.107786252918,10255.969782463259,8678.885051729218
2024-10-21,10000.0,9234.202289767012,9037.347631691704,9042.36998464533,10706.107786252918,10478.356712602308,8867.075017634144
2024-10-22,10000.0,9065.119964567464,8871.869802286083,8876.80019373738,10706.107786252918,10286.493370037197,8704.714955047923
2024-10-23,10000.0,8990.826941164898,8867.43386738494,8872.361793640512,10706.107786252918,10202.190603426541,8633.37562425078
2024-10-24,10000.0,9194.493865425145,9063.871882681193,9068.908976038278,10706.107786252918,10433.29824174657,8828.945294413596
2024-10-25,10000.0,8630.885789003398,8508.270729262522,8512.999056684332,10706.107786252918,9793.753396882694,8287.744772987482
2024-10-28,10000.0,8609.110264510746,8486.80455971927,8491.520957680757,10673.743470941228,9769.04398440958,8266.834985312735
2024-10-29,10000.0,8788.44024027263,8663.586876268773,8668.401518009945,10896.080286143031,9972.535677176336,8439.035279186875
2024-10-30,10000.0,8871.70069086955,8745.664483600984,8750.524738582944,10999.308223019387,10067.014081918815,8518.985516173025
2024-10-31,10000.0,8901.161464649082,8774.706721598059,8779.583116312131,10993.808568907876,10100.444202572908,8547.275008105657
2024-11-01,10000.0,9154.785441083279,9024.727577821603,9029.742917393936,10993.808568907876,10388.23977089083,8790.815571193045
2024-11-04,10000.0,9221.393215198967,9090.389085655701,9095.440915499432,10993.808568907876,10463.821829320508,8854.7751977323
2024-11-05,10000.0,9182.965991494828,9052.507780000455,9057.53855794986,10993.808568907876,10420.217179475101,8817.875738026767
2024-11-06,10000.0,9268.787866097458,9137.110422355234,9142.188216790893,10993.808568907876,10415.007070885365,8900.285563626841
2024-11-07,10000.0,9015.163889663261,8887.08956613169,8892.028415709092,10993.808568907876,10415.007070885365,8656.745000539455
2024-11-08,10000.0,8715.427440238047,8591.611335799076,8596.385978352102,10993.808568907876,10415.007070885365,8368.925273488647
2024-11-11,10000.0,8725.675090800383,8601.713402661591,8606.493659267258,11001.23824904351,10422.04559358312,8378.765504776566
2024-11-12,10000.0,8765.383515142252,8640.85770752118,8645.659717911602,11051.302207663693,10469.473787348506,8416.895227997116
2024-11-13,10000.0,8799.968114202951,8674.950978949513,8679.771936098366,11094.906101924613,10510.782025908344,8450.104835573708
2024-11-14,10000.0,8584.772338742638,8462.812391767333,8467.515456487641,11089.358648873651,10253.749743585746,8243.464670607958
2024-11-15,10000.0,8858.891616301506,8733.037381715905,8737.890619399755,11437.906875158596,10581.16092714112,8506.685696271183
2024-11-18,10000.0,8888.352390081036,8762.079619712978,8766.948997128944,11432.187921721017,10616.349210495404,8534.975188203814
2024-11-19,10000.0,8821.744615965348,8696.418111878884,8701.250999023448,11432.187921721017,10536.792127347457,8471.015561664559
2024-11-20,10000.0,8979.298089964834,8851.733295499014,8696.900373523937,11432.187921721017,10724.97578905419,8622.305129447848
2024-11-21,10000.0,9125.323690034002,8995.684376438408,8833.98503793718,11432.187921721017,10899.39042699501,8762.52514084431
2024-11-22,10000.0,8830.711065889956,8705.257179537053,8548.778331624035,11432.187921721017,10547.501757141641,8479.62552943746
2024-11-25,10000.0,8808.934564127556,8683.79004660768,8527.697074971435,11432.187921721017,10521.491655702528,8458.71480334661
2024-11-26,10000.0,8802.530515478406,8677.476977358201,8521.497484483418,11432.187921721017,10513.842587142168,8452.565362603738
2024-11-27,10000.0,8710.30361495688,8586.560302367821,8432.21505604833,11432.187921721017,10403.68572796647,8364.00515784469
2024-11-29,10000.0,8723.112689524927,8599.187404252903,8444.615183093414,11443.283612290124,10418.985032349292,8376.304977746533
2024-12-02,10000.0,8958.803766109912,8831.530125160109,8672.78149421298,11752.47139080945,10700.497135494092,8602.625605288118
2024-12-03,10000.0,8779.473790348025,8654.747808610606,8499.176877374646,11746.595155114048,10486.303372348244,8430.425311413977
2024-12-04,10000.0,8748.731815930765,8624.442571409185,8469.416383252634,11746.595155114048,10449.584808377045,8400.905555966328
2024-12-05,10000.0,8607.82906387302,8485.541560514926,8333.012147549553,11551.536999720882,10444.360015972858,8265.604721797721
2024-12-06,10000.0,8757.698265855373,8633.281639067352,8478.096566791097,11752.658515839703,10444.360015972858,8409.51552373923
2024-12-09,10000.0,8785.877838997176,8661.060877860084,8505.376467862663,11790.474947760971,10444.360015972858,8436.574752156846
2024-12-10,10000.0,9003.636015732945,8875.725463450952,8716.182411905302,11784.579710287091,10444.360015972858,8645.675444152626
2024-12-11,10000.0,8969.0504394025,8841.6312286365,8682.701028207617,11784.579710287091,10444.360015972858,8612.46489815993
2024-12-12,10000.0,9131.728715952899,9001.998409074007,8840.185574494246,11784.579710287091,10444.360015972858,8768.675520003282
2024-12-13,10000.0,9057.434715280588,8928.759869399966,8835.765481707,11784.579710287091,10444.360015972858,8697.335250790036
2024-12-16,10000.0,8976.736665959124,8849.208260476444,8752.62453211006,11784.579710287091,10346.082847859007,8619.845540833921
2024-12-17,10000.0,9040.783016069103,8912.344733287973,8815.071908704103,11784.579710287091,10419.899076294623,8681.34557875925
2024-12-18,10000.0,8954.961141466472,8827.742090933194,8810.664372749752,11784.579710287091,10320.985600514,8598.935753159176
2024-12-19,10000.0,8897.318840005646,8770.918687371148,8749.545564779266,11784.579710287091,10315.825107713745,8543.585155976716
2024-12-20,10000.0,8869.138289594097,8743.138485192296,8721.833057865639,11784.579710287091,10315.825107713745,8516.524989142996
2024-12-23,10000.0,8979.298089964836,8851.733295499012,8830.16324250699,11784.579710287091,10438.795678155639,8622.305129447848
2024-12-24,10000.0,8917.814141130315,8791.122821096173,8769.700464730458,11784.579710287091,10367.318111319204,8563.265618552552
2024-12-26,10000.0,9043.344440074812,8914.86976831054,8893.145863296679,11784.579710287091,10513.252139677596,8683.805167373175
2024-12-27,10000.0,9093.300514979015,8964.116140032644,8888.699290365032,11784.579710287091,10507.995513607757,8731.775121881645
